卷章名,領域,標題,勉勵,經文
01創世記第11章,品格,天父看見驕傲如何讓你走向毀滅，也為你預備了謙卑的路,你是否曾在某個成就中，開始以傳揚自己的名聲為首要目標？巴別塔的建造者喊出「為要傳揚我們的名」，那不只是工程計畫，更是人心驕傲的宣言——他們想靠集體力量達到神聖的高度。神一句話，就讓那個計畫瓦解。天父不是嫉妒人的成就，而是看見驕傲的心會把人帶向毀滅。你的成就，是指向自己，還是指向那位賜你一切的神？,他們說：來吧！我們要建造一座城和一座塔，塔頂通天，為要傳揚我們的名。《創世記11:4》
01創世記第12章,信仰,天父在呼召你離開安舒，走向祂所應許你的未來,你是否正站在一個要你放下熟悉、踏向未知的呼召前？神對亞伯蘭說「往我所要指示你的地去」，那不是一張清楚的地圖，而是一個方向。亞伯蘭沒有等到所有細節明朗，就照著神的吩咐出發了。天父的呼召常常先於祂的解釋，信心就是在不知道全部答案時，仍選擇跟隨那位知道一切的神。你願意出發嗎？,耶和華對亞伯蘭說：你要離開本地、本族、父家，往我所要指示你的地去。《創世記12:1》
01創世記第13章,品格,天父看見你在衝突中選擇退讓，並為你預備更大的空間,你是否曾在利益衝突中，選擇了謙讓而非爭奪，卻不確定這是否是正確的選擇？亞伯蘭是長輩，本有優先選擇權，卻主動讓羅得先選，為了避免骨肉相爭。他放棄了眼前最好的選擇，卻在讓出之後，得到神更大的應許：「你舉目向東西南北觀看，凡你所看見的一切地，我都要賜給你。」天父看見你退讓的心，並為那些甘願吃虧的人，保留了更寬廣的將來。,亞伯蘭就對羅得說：你我不可相爭，你的牧人和我的牧人也不可相爭，因為我們是骨肉。《創世記13:8》
01創世記第14章,信仰,天父看你面對誘人利益時，你選擇倚靠的是誰,你是否曾面對誘人的報酬，卻因著對神的委身而選擇放棄？亞伯拉罕打了勝仗，所多瑪王要把財物都給他，他卻說「連一根線、一根鞋帶，我都不拿」。他不要讓人說「我使亞伯拉罕富足了」——他的豐盛只屬於神。麥基洗德稱他是蒙「至高神賜福的人」，那是天父對他真正的評語。你的富足，是靠誰的名聲而來的？,願天地的主、至高的神賜福與亞伯蘭！《創世記14:19》
01創世記第15章,信仰,天父以你的信心算為你的義,你是否在等候一個看似遙不可及的應許，開始懷疑自己的信心是否有任何意義？亞伯蘭年老無子，處境和神的應許之間存在著巨大的落差，但「他信耶和華，耶和華就以此為他的義」。不是他的工作，不是他的完美，而是他在不可能中仍然信靠的那顆心，讓神稱他為義。天父稱你為義，不是因為你做得夠好，而是因為你願意信靠祂。那份信，就是一切。,亞伯蘭信耶和華，耶和華就以此為他的義。《創世記15:6》
01創世記第16章,家庭,天父在你被忽視的角落仍然看顧你,你是否曾感到被人忽視，在某個痛苦的角落不知道有沒有人在意？夏甲是個使女，在別人的故事裡扮演邊緣角色，卻在曠野中獨自哭泣時遇見了神。她成為聖經中第一個用一個名字稱呼神的人：「看顧人的神」——因為在那裡，她看見了那位看顧她的神。天父不只在意主角，祂也在你生命中最邊緣的時刻，看見了你。,夏甲就稱那對她說話的耶和華為看顧人的神，因而說：在這裡我也看見那看顧我的嗎？《創世記16:13》
01創世記第17章,信仰,天父是全能的神，祂的應許不因你的條件而縮水,你是否覺得自己已經太老、太晚，神的應許不再適用於你？亞伯拉罕九十九歲的時候，神說「我是全能的神」，並再次確認應許，甚至改了他的名字。名字的改變是身份的宣告，是神對未來的確認。天父是「全能的神」——「全能」的意思是，祂的應許不受你的年紀、條件或過去的失敗所限。只要祂說了，就必成就。,我是全能的神。你當在我面前作完全人，我就與你立約，使你的後裔極其繁多。《創世記17:1-2》
01創世記第18章,禱告,天父歡迎你大膽為他人代求,你是否曾為了他人的困境，鼓起勇氣在神面前懇切代求？亞伯拉罕看見所多瑪即將受審，沒有轉身離開，而是「近前來」，開始了一場大膽的代求，一次又一次地問，神也一次又一次地回應。天父不嫌你的禱告太大膽，祂喜悅那個懂得憂慮他人、把他人帶到神面前的心。你願意為誰大膽開口？,亞伯拉罕近前來，說：無論善惡，你都要剿滅嗎？《創世記18:23》
01創世記第19章,信仰,天父的拯救需要你起身離開，不讓你的心留戀舊地,你是否曾明知需要離開某件事，卻仍然拖延、依依不捨？神要拯救羅得一家，天使說「逃命吧！」，但羅得「遲延不走」，天使甚至必須「拉著他的手」才能讓他動身。羅得的妻子最終回頭看，就成了鹽柱。天父的拯救是真實的，但我們有時緊抓著那個需要放下的東西，不肯轉身。讓神拉著你的手前進，不要回頭。,那時，耶和華憐恤羅得，就拉著他的手和他妻子的手，把他們領出來。《創世記19:16》
01創世記第20章,品格,天父在你軟弱中仍守護祂對你的計畫,你是否曾在壓力下說了不完全誠實的話，然後懊悔自己的軟弱？亞伯拉罕再次犯了同樣的錯誤，然而神介入，保護了撒拉，也保護了應許不被破壞。神的保護不是因為亞伯拉罕做得完美，而是因為祂的計畫必須成就。你的軟弱和失敗，不能阻止天父的應許——祂的保守比你的表現更大。,神在夢中對他說：我知道你做這事是心中正直；我也攔阻了你，免得你得罪我。《創世記20:6》
01創世記第21章,信仰,天父在你最絕望的角落聽見了你,你是否曾在最深的無助中，覺得神不在？夏甲和以實瑪利在曠野中精疲力竭，水已喝盡，她把孩子放在小樹下，走開哭泣。就在那一刻，神的使者說：「神已經聽見童子的聲音了。」那句「已經聽見」，是在她開口之前。天父早已聽見了你最深的哭聲，甚至在你說出之前。你不需要先把話說得漂亮，只要發出那聲音，祂已聽見。,神聽見童子的聲音；神的使者從天上呼叫夏甲說：夏甲，你為何這樣呢？不要害怕，神已經聽見童子的聲音了。《創世記21:17》
01創世記第22章,信仰,天父的供應在你全然順服的那一刻出現,你是否面對一個要你放下最珍愛之物的呼召，內心掙扎不已？亞伯拉罕帶著以撒上山，以撒問：「燔祭的羊羔在哪裡？」父親說：「神必自己預備。」他不知道答案，卻選擇繼續走。當他舉起刀的那一刻，神的供應才出現——那是信心的法則：在完全順服之後，神的預備才完全顯現。天父的供應，在你信心最深的步伐之後等候著你。,亞伯拉罕說：我兒，神必自己預備作燔祭的羊羔。於是二人同行。《創世記22:8》
01創世記第23章,未來,天父看見你在等候中以行動表達信心的心,你是否曾在漫長等候中，以具體行動宣告你對應許的信心？亞伯拉罕在迦南一生寄居，一塊地都不屬於他，卻在撒拉死後，堅持花大價購買墳地——那是一個宣告：「我相信我的後代要住在這裡。」他沒有看見應許完全成就，卻用一個埋葬的行動宣告了對未來的信心。天父看見那份在看不見時仍然持守的信念，並記念它。,我在你們中間是外人，是寄居的。求你們在這裡給我一塊地，我好埋葬我的死人。《創世記23:4》
01創世記第24章,禱告,天父喜悅你帶著具體請求尋求祂對你的引導,你是否在某個重要決定前，嘗試過帶著具體的請求尋求神的引導？亞伯拉罕的老僕人設立了一個清楚的印證，帶著具體的請求對神禱告。他說的話還沒說完，利百加就出現了，並做了他所求的事——神的回應比他的禱告還快。天父喜悅那種帶著具體、誠實的請求來尋求引導的心。你有一個這樣的禱告嗎？,他說：耶和華─我主人亞伯拉罕的神啊，求你施恩給我主人亞伯拉罕，使我今日遇見好機會。《創世記24:12》
01創世記第25章,品格,天父看你如何對待生命中屬靈的產業,你是否曾為了眼前的一時滿足，輕忽了長遠有意義的東西？以掃那天很餓，覺得長子名分比不上一碗紅豆湯，就賣掉了。他沒有認為長子名分本身不好，只是此刻的飢餓讓他覺得那不重要。這是人心最常犯的錯：用現在的感覺判斷長遠的價值。天父看你如何對待那些屬靈的、永恆的事物——它們在你眼中，值多少？,以掃說：我將要死，這長子的名分於我有什麼益處呢？《創世記25:32》
01創世記第26章,信仰,天父為選擇退讓的你保留了寬闊之地,你是否曾因為不爭而感到吃虧，不確定退讓是否正確的選擇？以撒在非利士人一再封堵他的井時，沒有爭競，而是繼續挖新的井，直到對方不再爭奪。神讓他在一個叫「利河伯」——寬闊之地——的地方得到新井。以撒說：「耶和華現在給我們寬闊之地。」天父從不虧待那些選擇退讓的人，祂為你保留了更廣的地方。,他就給那井起名叫利河伯，他說：耶和華現在給我們寬闊之地，我們必在這地昌盛。《創世記26:22》
01創世記第27章,品格,天父看見用錯誤手段達到目的，會讓你付出沉重代價,你是否曾因為相信目標是對的，就用了一個不太對的方式去達成？利百加和雅各都知道神的旨意，卻選擇用欺騙來加速應許的成就，結果家庭破裂、雅各逃亡二十年。神的旨意不需要我們用謊言來守護，祂有自己成就的方式。天父看見目標背後的手段，正確的目標不能為錯誤的方式辯護。你今天的手段，是否與你的目標一樣純潔？,雅各對他父親說：我是你的長子以掃；我已照你所吩咐我的行了。《創世記27:19》
01創世記第28章,信仰,天父在你最孤單的夜裡悄悄同在,你是否曾在某個孤單、支撐都消失的夜晚，不確定神是否還在？雅各逃亡的那一夜，枕著石頭入睡，卻在夢中遇見了神，聽見那句話：「你無論往那裡去，我必保佑你，領你歸回這地，總不離棄你。」雅各醒來說：「耶和華真在這裡，我竟不知道！」天父最常在我們「竟不知道」的時刻，悄悄同在。你今天的孤單，不是神缺席的證明。,我也與你同在。你無論往那裡去，我必保佑你，領你歸回這地，總不離棄你。《創世記28:15》
01創世記第29章,家庭,天父看見你在關係中被忽視的苦情,你是否曾感到自己的付出和愛沒有被珍視，在關係中感到被輕視？利亞不被丈夫所愛，卻被神所看見。她生了兒子，每次都說出她的痛苦和盼望，而神回應她的方式是：「耶和華見利亞失寵，就使她生育。」那句「見……就」，是看見即行動。天父看見那些在關係中被忽視的人，祂不需要你先被人愛，才能被祂愛。,耶和華見利亞失寵，就使她生育，拉結卻不生育。利亞懷孕生子，就給他起名叫流便，因而說：耶和華看見我的苦情。《創世記29:31-32》
01創世記第30章,信仰,天父在祂的時間中記念你心深處的渴望,你是否有一個渴望，等候了很長的時間，覺得神是否真的看見了？拉結哭喊、嫉妒、用盡各種方法，都沒能懷孕，但聖經說「神顧念拉結，應允了她，使她能生育」。那個轉折不是靠她自己的方法，而是「神顧念」。拉結所做的一切努力都無法成就，但神顧念的那一刻，一切改變了。天父在祂最好的時間裡，記念你心深處的渴望。,神顧念拉結，應允了她，使她能生育。《創世記30:22》
01創世記第31章,職場,天父看見你在不公平中的忠心勞苦,你是否曾在一段不被公平對待的時期，竭力盡職，卻感到付出沒有得到應有的回報？雅各說：「我白日受盡乾熱，黑夜受盡寒霜，你十次改了我的工價。」二十年的不公正，神都看見。神說：「我是看見你的苦情和你的勞碌。」沒有一滴汗水是白流的，沒有一份不被看見的忠心。天父的眼睛從來沒有離開那個在無人注意時仍然盡力的你。,神看見我的苦情和我的勞碌。《創世記31:42》
01創世記第32章,信仰,天父在你激烈的掙扎中為你準備新的名字,你是否正在某個生命的夜晚，與自己、與神、與恐懼掙扎，不知道天亮會帶來什麼？雅各整夜不放手，說：「你不給我祝福，我就不容你去。」那一夜，他的大腿被摸而扭，卻得了新名字：以色列——「與神較力得勝的人」。傷痛和祝福，在那一夜同時來到。天父在你最劇烈的掙扎中，正在為你準備一個新的名字、一個新的開始。,那人說：你的名不要再叫雅各，要叫以色列；因為你與神與人較力，都得了勝。《創世記32:28》
01創世記第33章,家庭,天父能化解看似無法跨越的隔閡，使你與人和好,你是否有一段破裂的關係，覺得傷害太深、裂痕太大，不可能再和好？雅各懷著極度的恐懼去見以掃，以為必死無疑，結果「以掃跑來迎接他，將他抱住……兩個人就哭了」。那份和好，不是靠策略，而是神改變了以掃的心。天父有能力融化仇恨、軟化剛硬的心，使仇敵成為擁抱你的人。這是人做不到、但神能做到的事。,以掃跑來迎接他，將他抱住，又摟著他的頸項，與他親嘴，兩個人就哭了。《創世記33:4》
01創世記第34章,品格,天父看見屬靈界線模糊如何讓你所愛的人陷入危機,你是否曾讓信仰的界線悄悄模糊，以為不會影響太多，卻讓你愛的人暴露在危險中？雅各沒有帶領家人回伯特利敬拜神，選擇在示劍城外定居，漸漸融入當地的生活。結果底拿受了玷辱，兒子們以殘酷的方式報復，全家陷入危機。屬靈邊界的模糊代價最先由家人承擔。天父呼召你分別為聖，是為了保護你所愛的人。,雅各聽見示劍玷污了他的女兒底拿。那時他的兒子們正和群畜在田野，雅各就閉口不言，等他們回來。《創世記34:5》
01創世記第35章,信仰,天父邀請你回到起初遇見祂的地方重新出發,你是否曾離開生命的起點太久，想要回到那個最初遇見神的地方？神呼召雅各「回伯特利去」——那是他最初與神相遇、立石立誓的地方。回去之前，雅各吩咐家人「除掉你們中間的外邦神，也要自潔，更換衣裳」。那個清潔的行動，那個回歸的決定，是真正更新的開始。天父等著你回去那個起初的地方，再一次與祂相遇。,你們要除掉你們中間的外邦神，也要自潔，更換衣裳。《創世記35:2》
01創世記第36章,信仰,天父的主權涵蓋每一個被記念的生命，包括你,你是否有時覺得自己在神計畫的邊緣，不在最重要的那條線上？本章記錄了以掃的後代，雖然以掃在救恩主線之外，神仍詳細記錄了他的族裔、王、首領，一個都不少。神的記錄包含每一個生命，沒有誰是被神忽略的。天父的眼目涵蓋萬族萬民，即使你覺得自己在邊緣，神的記錄裡有你的名字，祂的眼目也看顧著你。,以掃就是以東，他的後代記在下面。《創世記36:1》
01創世記第37章,未來,天父在人的惡意中默默編織更大的計畫守護你,你是否曾受到最親近的人的傷害，覺得那道傷是最難癒合的？約瑟的哥哥們把他丟進坑裡，又賣給外邦人，他下到埃及時充滿恐懼與困惑。然而聖經後來揭示，神在人最醜陋的惡意中，默默編織著一個比任何人能想像的更大的計畫。天父在你現在所在的「坑」裡，也許正在醞釀一個你還看不見的轉折。,他們就把約瑟從坑裡拉上來，講定二十舍客勒銀子，把約瑟賣給以實瑪利人。《創世記37:28》
01創世記第38章,悔改,天父喜悅你勇敢承認錯誤、不顧面子的心,你是否曾在一件自己做錯的事上，為了面子而遲遲不肯認錯？猶大曾想讓他瑪受死，但當他瑪拿出那些物件證明時，猶大說：「她比我更有義。」他沒有找藉口，沒有轉移焦點，就是承認了。那句話比任何辯解都有力量——那是真正悔改的起點。天父喜悅那個願意說出「我錯了」的心，那不是軟弱，那是真實的義。,猶大承認說：她比我更有義，因為我沒有將她給我的兒子示拉。《創世記38:26》
01創世記第39章,品格,天父在無人看見的地方，看見你說「不」的那一刻,你是否曾面對一個誘人的試探，選擇說不，卻因此付出了代價？約瑟在最脆弱的環境中，面對最直接的誘惑，說了一句話：「我怎能作這大惡，得罪神呢？」然後他跑出去了——沒有猶豫，沒有反覆分析。他因此坐了冤獄，但神的同在始終沒有離開他。天父看見那個在無人看見的地方，為了祂說「不」的你，並且記念。,我怎能作這大惡，得罪神呢？《創世記39:9》
01創世記第40章,服事,天父看顧那些在自己苦難中仍然關心你旁邊之人的心,你是否曾在自己的苦難中，仍然注意到旁邊有人需要關心？約瑟身陷冤獄，卻在早晨注意到同囚者的愁容，主動問：「你們今日為何面帶愁容呢？」那個細小的關心，是他內心健康的證明——苦難沒有讓他只看見自己。天父記念那些在自己痛苦中仍然看見他人的心，那不是一種努力，而是愛的自然流露。,約瑟說：解夢不是出於神嗎？請你們將夢告訴我。《創世記40:8》
01創世記第41章,信仰,天父在你最被遺忘的時刻，正在醞釀對你最大的翻轉,你是否正在一段漫長的等候中，看不見出路，懷疑那個應許還算不算數？約瑟在監獄裡被遺忘了整整兩年，但法老的一個夢，就讓他從囚犯走向宰相。約瑟說：「這不在乎我，神必將平安的話回答法老。」他沒有靠自己的聰明爭取，而是謙卑地把榮耀歸給神。天父在你最被遺忘的時刻，往往正在醞釀最大的翻轉。,約瑟回答法老說：這不在乎我，神必將平安的話回答法老。《創世記41:16》
01創世記第42章,未來,天父有時用困境喚醒你對過去虧欠的正視,你是否有某件埋在心底已久的虧欠，每逢困境就會浮現？約瑟的哥哥們在困境中彼此說：「我們在兄弟身上實在有罪……我們見他心裡的愁苦，卻不肯聽。」二十多年過去了，那個愁苦的畫面還在。罪的記憶不會因時間消失，它在合適的時候重新顯現，呼喚我們面對。天父有時使用困境，不是要傷害你，而是要打開那道你一直不敢打開的門。,他們彼此說：我們在兄弟身上實在有罪。他哀求我們的時候，我們見他心裡的愁苦，卻不肯聽。《創世記42:21》
01創世記第43章,信仰,天父的供應在你願意放手的那一刻流入你的生命,你是否正緊抓著一個你最放不下的人或事，不敢交出去？雅各說：「我若喪了兒子，就喪了吧！」那句話說得沉重，卻是信心突破的一刻——不再掌控，把結果交給神。正是這份放手，讓一家人得以重聚、得以活命。天父的供應往往在你願意放手、不再死抓的那一刻，才能真正流入你的生命。,但願全能的神使你們在那人面前蒙憐憫。我若喪了兒子，就喪了吧！《創世記43:14》
01創世記第44章,品格,天父看見你在相同試探中做出不同的選擇,你是否曾想知道，你內心的改變是否真實，還是只是暫時的情緒？猶大當年賣掉了約瑟，如今卻說：「求你容僕人住下，替這童子作我主的奴僕。」同樣是弟弟陷入危難，這一次他選擇了捨己去救。生命是否真正改變，最真實的測試不是說什麼，而是當同樣的情況再次出現時，你會做什麼選擇。天父看見了那個真實改變的你。,現在求你容僕人住下，替這童子作我主的奴僕，叫童子和他哥哥們一同上去。《創世記44:33》
01創世記第45章,信仰,天父把人對你的惡意，轉化為祂救恩美意中的一部分,你是否曾受過傷，覺得那個傷害是多餘的、毫無意義的？約瑟認出哥哥們的那一刻，沒有秋後算帳，而是放聲大哭，然後說：「這是神差我在你們以先來，為要保全生命。」他從神的視角看見了整個故事。天父有能力把你所經歷的傷害，轉化為你生命中最有力量的見證。,現在，不要因為把我賣到這裡自憂自恨。這是神差我在你們以先來，為要保全生命。《創世記45:5》
01創世記第46章,家庭,天父在你最大的轉折前親自說：不要害怕，我與你同去,你是否正面對一個重大的人生轉變，感到既期待又恐懼？雅各在啟程下埃及前，先去獻祭尋求神，神在夜間的異象中說：「你下埃及去不要害怕，因為我必使你在那裡成為大族。我要和你同下埃及去，也必定帶你上來。」你面對最大的未知時，天父說的也是同樣的話：我同你一起去，我也必帶你回來。,神說：我是神，就是你父親的神。你下埃及去不要害怕，因為我必使你在那裡成為大族。《創世記46:3》
01創世記第47章,信仰,天父讓你成為他人的祝福，不只是單方面接受你,你是否覺得自己只是一個需要被幫助的人，很難想像自己能祝福別人？雅各是外來的寄居者，在法老眼中應是被保護的對象，但每次見面，他都先為法老祝福。一個被神同在的人，無論身份如何，都能成為他人的祝福管道。天父不只是要賜福給你，而是要透過你將祝福帶給你周圍的人。今天，你是誰的祝福？,約瑟領他父親雅各進到法老面前，雅各就給法老祝福。《創世記47:7》
01創世記第48章,未來,天父的揀選往往出乎你的意料，卻有祂更深的美意,你是否曾感到神似乎更喜悅別人，而忽略了你？雅各在晚年把右手按在次子以法蓮頭上，打破了長子優先的傳統。約瑟想糾正，但雅各說：「我知道，我兒，我知道。」這是神的揀選，不是錯誤。神的揀選從不依照人的期望，祂有祂的計畫，祂的眼光看見的比我們更深更遠。天父知道祂在做什麼，即使祂的方式讓你困惑。,願我祖亞伯拉罕和我父以撒所事奉的神，就是一生牧養我直到今日的神，救贖我脫離一切患難的那使者，賜福與這兩個童子。《創世記48:15-16》
01創世記第49章,信仰,天父的計畫不因你的過去而限定你未來的可能,你是否背負著過去的失敗，以為那已經決定了你的命運？雅各的臨終祝福中，猶大雖然犯過嚴重的罪，仍得到了最大的祝福：「圭必不離猶大……萬民都必歸順。」彌賽亞的血脈就從他而出。天父的計畫不因你的過去而受限，祂能在破碎的歷史中，成就最大的榮耀。你的昨天，不是你明天的天花板。,圭必不離猶大，杖必不離他兩腳之間，直等細羅來到，萬民都必歸順。《創世記49:10》
01創世記第50章,信仰,天父把人對你的惡意，化為祂救恩故事中最有力的見證,你是否曾受過傷，不確定神是否能把那個傷害轉化為有意義的事？約瑟在父親死後，哥哥們以為他會報復，但約瑟說：「從前你們的意思是要害我，但神的意思原是好的，要保全許多人的性命。」他沒有輕描淡寫痛苦，而是從神的視角重新詮釋了整個故事。天父有能力讓你也說出這句話——那份恩典，是真實的，是可能的。,從前你們的意思是要害我，但神的意思原是好的，要保全許多人的性命，成就今日的光景。《創世記50:20》
02出埃及記第01章,信仰,天父保守你在壓迫中的生命,你是否曾在某個困境中，感覺越努力越被打壓，彷彿根本看不到出路？以色列人在埃及受到的苦害越深，反而越發繁茂。這不是偶然，而是天父的應許有其不可攔阻的力量。收生婆施弗拉和普阿面對死亡的命令，因為敬畏神而選擇保存生命，神因此厚待她們。天父看見你所面對的壓迫，祂的應許不因苦難的份量而減輕，你的生命在祂的保守中，有一種超越環境的韌性。,只是越發苦害他們，他們越發多起來，越發蔓延；埃及人就因以色列人愁煩。《出埃及記1:12》
02出埃及記第02章,禱告,天父聽見你深處的哀聲,你是否曾在漫長的等待中懷疑：神真的聽見了嗎？以色列人在埃及的苦難中呻吟了多年，聖經卻記下了這句話：「神聽見他們的哀聲，就記念祂與亞伯拉罕、以撒、雅各所立的約。」神沒有遺忘。祂不是漠然的旁觀者，而是記念祂應許的那位。你今天的眼淚、你沉默的禱告、你說不出口的疲憊，天父都聽見了。祂記念你，也記念祂對你的應許。等候不是徒然，神的行動正在展開。,神聽見他們的哀聲，就記念他與亞伯拉罕、以撒、雅各所立的約。《出埃及記2:24》
02出埃及記第03章,信仰,天父看見你所受的苦楚,你是否曾感覺自己的痛苦沒有人知道，連神也好像沉默？荊棘火焰中，神對摩西說：「我的百姓在埃及所受的苦楚，我實在看見了；他們所發的哀聲，我也聽見了。」這句話不是神給以色列人才說的，也是神對你說的。天父不是遙遠的神學概念，祂是看見你、聽見你、願意親自介入的神。無論你身處何種困境，天父的眼目從未離開你，祂正在行動。,耶和華說：「我的百姓在埃及所受的苦楚，我實在看見了；他們因受督工的轄制所發的哀聲，我也聽見了。」《出埃及記3:7》
02出埃及記第04章,服事,天父的能力不受你的不足所限,你是否曾覺得自己能力不夠、口才不好、條件不足，因此不敢回應神的呼召？摩西以「我嘴笨舌拙」推辭，神卻回答：「誰使人有口呢？不是我耶和華嗎？」神不是在等一個完美的人，而是在尋找一個願意的人，然後親自裝備。天父知道你的不足，但祂的呼召帶著祂自己的資源。你今天所面對的那個「超過我能力的事」，也許正是天父邀請你體驗祂同在的開始。,耶和華對他說：「誰使人有口呢？誰使人口啞、耳聾、眼明、眼瞎呢？不是我耶和華嗎？」《出埃及記4:11》
02出埃及記第05章,信仰,天父在你的挫折中仍有祂的計畫,你是否曾忠心照著神的心意去做，結果卻帶來更大的麻煩，讓你不禁懷疑：我是不是走錯了？摩西奉神命去見法老，卻使以色列人的勞役加重，百姓指責他，他自己也困惑地向神呼喊。神並沒有責備他的疑問，因為摩西帶著困惑來找神，這本身就是信心的表現。天父在你看似失敗的處境中，計畫仍未改變。把你的困惑帶到祂面前，這是最好的選擇。,摩西回到耶和華那裏，說：「主啊，你為甚麼苦待這百姓呢？為甚麼打發我去呢？」《出埃及記5:22》
